Date : 2025-07-14 15:40:17
Directory : /Users/karanocave/Code/SmartLabManagement
Total : 141 files,  99 codes, 5063 comments, -1100 blanks, all 4062 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |          9 |      3,198 |      5,080 |        599 |      8,877 |
| TypeScript JSX |         11 |        461 |         -2 |          4 |        463 |
| Java           |         20 |        222 |        -61 |         76 |        237 |
| MS SQL         |          2 |         40 |         28 |         24 |         92 |
| XML            |          1 |          2 |          0 |          0 |          2 |
| HTML           |          1 |          1 |          0 |         -1 |          0 |
| PostCSS        |          2 |        -82 |         18 |         -8 |        -72 |
| Markdown       |         95 |     -3,743 |          0 |     -1,794 |     -5,537 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        141 |         99 |      5,063 |     -1,100 |      4,062 |
| Database                                                                                                                                             |          3 |         42 |         28 |         24 |         94 |
| Database (Files)                                                                                                                                     |          2 |         40 |         28 |         24 |         92 |
| Database/.idea                                                                                                                                       |          1 |          2 |          0 |          0 |          2 |
| backend                                                                                                                                              |         20 |        222 |        -61 |         76 |        237 |
| backend/src                                                                                                                                          |         20 |        222 |        -61 |         76 |        237 |
| backend/src/main                                                                                                                                     |         20 |        222 |        -61 |         76 |        237 |
| backend/src/main/java                                                                                                                                |         20 |        222 |        -61 |         76 |        237 |
| backend/src/main/java/com                                                                                                                            |         20 |        222 |        -61 |         76 |        237 |
| backend/src/main/java/com/labmanagement                                                                                                              |         20 |        222 |        -61 |         76 |        237 |
| backend/src/main/java/com/labmanagement/backend                                                                                                      |         20 |        222 |        -61 |         76 |        237 |
| backend/src/main/java/com/labmanagement/backend (Files)                                                                                              |          1 |         -1 |          0 |          0 |         -1 |
| backend/src/main/java/com/labmanagement/backend/common                                                                                               |          2 |         19 |        -21 |          3 |          1 |
| backend/src/main/java/com/labmanagement/backend/common/handler                                                                                       |          1 |         16 |        -18 |          1 |         -1 |
| backend/src/main/java/com/labmanagement/backend/common/utils                                                                                         |          1 |          3 |         -3 |          2 |          2 |
| backend/src/main/java/com/labmanagement/backend/modules                                                                                              |         15 |        199 |        -13 |         70 |        256 |
| backend/src/main/java/com/labmanagement/backend/modules/auth                                                                                         |          2 |         26 |         27 |         14 |         67 |
| backend/src/main/java/com/labmanagement/backend/modules/auth/controller                                                                              |          1 |         22 |          3 |          8 |         33 |
| backend/src/main/java/com/labmanagement/backend/modules/auth/dto                                                                                     |          1 |          4 |         24 |          6 |         34 |
| backend/src/main/java/com/labmanagement/backend/modules/log                                                                                          |          2 |         24 |         18 |          5 |         47 |
| backend/src/main/java/com/labmanagement/backend/modules/log/controller                                                                               |          1 |         24 |         18 |          6 |         48 |
| backend/src/main/java/com/labmanagement/backend/modules/log/mapper                                                                                   |          1 |          0 |          0 |         -1 |         -1 |
| backend/src/main/java/com/labmanagement/backend/modules/project                                                                                      |          1 |          0 |          0 |         -1 |         -1 |
| backend/src/main/java/com/labmanagement/backend/modules/project/controller                                                                           |          1 |          0 |          0 |         -1 |         -1 |
| backend/src/main/java/com/labmanagement/backend/modules/resource                                                                                     |          9 |        124 |        -28 |         43 |        139 |
| backend/src/main/java/com/labmanagement/backend/modules/resource/controller                                                                          |          2 |          7 |        -46 |          1 |        -38 |
| backend/src/main/java/com/labmanagement/backend/modules/resource/dto                                                                                 |          3 |         63 |         21 |         38 |        122 |
| backend/src/main/java/com/labmanagement/backend/modules/resource/service                                                                             |          4 |         54 |         -3 |          4 |         55 |
| backend/src/main/java/com/labmanagement/backend/modules/resource/service (Files)                                                                     |          2 |          8 |          9 |          2 |         19 |
| backend/src/main/java/com/labmanagement/backend/modules/resource/service/impl                                                                        |          2 |         46 |        -12 |          2 |         36 |
| backend/src/main/java/com/labmanagement/backend/modules/system                                                                                       |          1 |         25 |        -30 |          9 |          4 |
| backend/src/main/java/com/labmanagement/backend/modules/system/entity                                                                                |          1 |         25 |        -30 |          9 |          4 |
| backend/src/main/java/com/labmanagement/backend/security                                                                                             |          2 |          5 |        -27 |          3 |        -19 |
| backend/src/main/java/com/labmanagement/backend/security/filter                                                                                      |          1 |         14 |         -4 |          2 |         12 |
| backend/src/main/java/com/labmanagement/backend/security/provider                                                                                    |          1 |         -9 |        -23 |          1 |        -31 |
| fronted                                                                                                                                              |        118 |       -165 |      5,096 |     -1,200 |      3,731 |
| fronted (Files)                                                                                                                                      |          1 |          1 |          0 |         -1 |          0 |
| fronted/client                                                                                                                                       |          5 |      3,060 |      4,744 |        579 |      8,383 |
