Date : 2025-07-13 14:38:30
Directory : /Users/karanocave/Code/SmartLabManagement/fronted
Total : 160 files,  17563 codes, 4949 comments, 2824 blanks, all 25336 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      7,167 |          4 |          9 |      7,180 |
| Markdown           |         95 |      3,743 |          0 |      1,794 |      5,537 |
| TypeScript JSX     |         36 |      3,334 |        425 |        398 |      4,157 |
| TypeScript         |         14 |      3,157 |      4,508 |        601 |      8,266 |
| PostCSS            |          3 |         99 |          0 |         16 |        115 |
| JavaScript         |          3 |         41 |          9 |          4 |         54 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          7 |          3 |          1 |         11 |
| SVG                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        160 |     17,563 |      4,949 |      2,824 |     25,336 |
| . (Files)                                                                                                  |         11 |      7,243 |         24 |         17 |      7,284 |
| public                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                        |        148 |     10,319 |      4,925 |      2,807 |     18,051 |
| src (Files)                                                                                                |          5 |        131 |         16 |         25 |        172 |
| src/api                                                                                                    |          2 |         77 |         35 |         14 |        126 |
| src/assets                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| src/client                                                                                                 |        100 |      6,685 |      4,408 |      2,356 |     13,449 |
| src/client (Files)                                                                                         |          5 |      2,942 |      4,408 |        562 |      7,912 |
| src/client/docs                                                                                            |         95 |      3,743 |          0 |      1,794 |      5,537 |
| src/components                                                                                             |         13 |      1,169 |        124 |        116 |      1,409 |
| src/components/common                                                                                      |          3 |        206 |         31 |         23 |        260 |
| src/components/layout                                                                                      |          2 |        166 |         18 |         16 |        200 |
| src/components/specific                                                                                    |          8 |        797 |         75 |         77 |        949 |
| src/components/specific/equipment                                                                          |          1 |        101 |         10 |         10 |        121 |
| src/components/specific/lab                                                                                |          1 |         81 |          9 |          9 |         99 |
| src/components/specific/material                                                                           |          1 |         91 |         10 |         10 |        111 |
| src/components/specific/resource                                                                           |          1 |        120 |          6 |         10 |        136 |
| src/components/specific/role                                                                               |          1 |         63 |          8 |          9 |         80 |
| src/components/specific/safety                                                                             |          1 |         81 |          6 |          9 |         96 |
| src/components/specific/supplier                                                                           |          1 |        111 |         17 |          9 |        137 |
| src/components/specific/user                                                                               |          1 |        149 |          9 |         11 |        169 |
| src/pages                                                                                                  |         19 |      2,056 |        244 |        256 |      2,556 |
| src/pages (Files)                                                                                          |          1 |         52 |          4 |          5 |         61 |
| src/pages/audit                                                                                            |          1 |          0 |          0 |          1 |          1 |
| src/pages/auth                                                                                             |          1 |        104 |         26 |         15 |        145 |
| src/pages/dashboard                                                                                        |          1 |        124 |         12 |         15 |        151 |
| src/pages/management                                                                                       |          4 |        567 |         46 |         72 |        685 |
| src/pages/project                                                                                          |          7 |        786 |        112 |         94 |        992 |
| src/pages/project (Files)                                                                                  |          1 |        117 |         20 |         15 |        152 |
| src/pages/project/detail                                                                                   |          6 |        669 |         92 |         79 |        840 |
| src/pages/project/detail (Files)                                                                           |          1 |         96 |         14 |         15 |        125 |
| src/pages/project/detail/tabs                                                                              |          5 |        573 |         78 |         64 |        715 |
| src/pages/resource                                                                                         |          3 |        340 |         34 |         42 |        416 |
